Ride,Date/Time,Wait Time
Montanha-russa Dum Dum,2023-08-03 15:20:05,15
Montanha-russa Dum Dum,2023-08-03 15:25:05,15
Montanha-russa Dum Dum,2023-08-03 15:30:06,15
Montanha-russa Dum Dum,2023-08-03 15:35:04,30
Montanha-russa Dum Dum,2023-08-03 15:40:04,30
Montanha-russa Dum Dum,2023-08-03 15:45:05,30
Montanha-russa Dum Dum,2023-08-03 15:50:05,30
Montanha-russa Dum Dum,2023-08-03 15:55:05,20
Montanha-russa Dum Dum,2023-08-03 16:00:03,20
Montanha-russa Dum Dum,2023-08-03 16:05:05,20
Montanha-russa Dum Dum,2023-08-03 16:10:04,20
Montanha-russa Dum Dum,2023-08-03 16:15:05,20
Montanha-russa Dum Dum,2023-08-03 16:20:03,20
Montanha-russa Dum Dum,2023-08-03 16:25:04,20
Montanha-russa Dum Dum,2023-08-03 16:30:05,20
Montanha-russa Dum Dum,2023-08-03 16:35:04,20
Montanha-russa Dum Dum,2023-08-03 16:40:03,20
Montanha-russa Dum Dum,2023-08-03 16:45:04,20
Montanha-russa Dum Dum,2023-08-03 16:50:03,20
Montanha-russa Dum Dum,2023-08-03 16:55:04,20
Montanha-russa Dum Dum,2023-08-03 17:00:06,45
Montanha-russa Dum Dum,2023-08-03 17:05:04,45
Montanha-russa Dum Dum,2023-08-03 17:10:05,45
Montanha-russa Dum Dum,2023-08-03 17:15:06,45
Montanha-russa Dum Dum,2023-08-03 17:20:05,45
Montanha-russa Dum Dum,2023-08-03 17:25:06,45
Montanha-russa Dum Dum,2023-08-03 17:30:04,45
Montanha-russa Dum Dum,2023-08-03 17:35:05,35
Montanha-russa Dum Dum,2023-08-03 17:40:04,35
Montanha-russa Dum Dum,2023-08-03 17:45:05,35
Montanha-russa Dum Dum,2023-08-03 17:50:06,35
Montanha-russa Dum Dum,2023-08-03 17:55:04,35
Montanha-russa Dum Dum,2023-08-03 18:00:06,35
Montanha-russa Dum Dum,2023-08-03 18:05:05,35
Montanha-russa Dum Dum,2023-08-04 10:35:07,10
Montanha-russa Dum Dum,2023-08-04 10:40:05,10
Montanha-russa Dum Dum,2023-08-04 10:45:05,10
Montanha-russa Dum Dum,2023-08-04 10:50:04,10
Montanha-russa Dum Dum,2023-08-04 10:55:04,20
Montanha-russa Dum Dum,2023-08-04 11:00:05,20
Montanha-russa Dum Dum,2023-08-04 11:05:05,20
Montanha-russa Dum Dum,2023-08-04 11:10:05,20
Montanha-russa Dum Dum,2023-08-04 11:15:04,20
Montanha-russa Dum Dum,2023-08-04 11:20:05,20
Montanha-russa Dum Dum,2023-08-04 11:25:05,20
Montanha-russa Dum Dum,2023-08-04 11:30:04,20
Montanha-russa Dum Dum,2023-08-04 11:35:05,20
Montanha-russa Dum Dum,2023-08-04 11:40:05,35
Montanha-russa Dum Dum,2023-08-04 11:45:05,35
Montanha-russa Dum Dum,2023-08-04 11:50:05,35
Montanha-russa Dum Dum,2023-08-04 11:55:04,35
Montanha-russa Dum Dum,2023-08-04 12:00:04,35
Montanha-russa Dum Dum,2023-08-04 12:05:06,35
Montanha-russa Dum Dum,2023-08-04 12:10:05,30
Montanha-russa Dum Dum,2023-08-04 12:15:05,30
Montanha-russa Dum Dum,2023-08-04 12:20:05,30
Montanha-russa Dum Dum,2023-08-04 12:25:04,30
Montanha-russa Dum Dum,2023-08-04 12:30:04,30
Montanha-russa Dum Dum,2023-08-04 12:35:05,30
Montanha-russa Dum Dum,2023-08-04 12:40:05,40
Montanha-russa Dum Dum,2023-08-04 12:45:04,40
Montanha-russa Dum Dum,2023-08-04 12:50:05,40
Montanha-russa Dum Dum,2023-08-04 12:55:04,40
Montanha-russa Dum Dum,2023-08-04 13:00:04,40
Montanha-russa Dum Dum,2023-08-04 13:05:05,30
Montanha-russa Dum Dum,2023-08-04 13:10:05,30
Montanha-russa Dum Dum,2023-08-04 13:15:05,30
Montanha-russa Dum Dum,2023-08-04 13:20:03,30
Montanha-russa Dum Dum,2023-08-04 13:25:05,30
Montanha-russa Dum Dum,2023-08-04 13:30:06,30
Montanha-russa Dum Dum,2023-08-04 13:35:05,30
Montanha-russa Dum Dum,2023-08-04 13:40:05,30
Montanha-russa Dum Dum,2023-08-04 13:45:05,30
Montanha-russa Dum Dum,2023-08-04 13:50:06,30
Montanha-russa Dum Dum,2023-08-04 13:55:03,30
Montanha-russa Dum Dum,2023-08-04 14:00:03,30
Montanha-russa Dum Dum,2023-08-04 14:05:05,30
Montanha-russa Dum Dum,2023-08-04 14:10:05,30
Montanha-russa Dum Dum,2023-08-04 14:15:05,30
Montanha-russa Dum Dum,2023-08-04 14:20:04,30
Montanha-russa Dum Dum,2023-08-04 14:25:05,30
Montanha-russa Dum Dum,2023-08-04 14:30:06,20
Montanha-russa Dum Dum,2023-08-04 14:35:04,20
Montanha-russa Dum Dum,2023-08-04 14:40:05,20
Montanha-russa Dum Dum,2023-08-04 14:45:05,20
Montanha-russa Dum Dum,2023-08-04 14:50:05,20
Montanha-russa Dum Dum,2023-08-04 14:55:04,40
Montanha-russa Dum Dum,2023-08-04 15:00:06,40
Montanha-russa Dum Dum,2023-08-04 15:05:04,40
Montanha-russa Dum Dum,2023-08-04 15:10:06,40
Montanha-russa Dum Dum,2023-08-04 15:15:05,40
Montanha-russa Dum Dum,2023-08-04 15:20:04,40
Montanha-russa Dum Dum,2023-08-04 15:25:03,40
Montanha-russa Dum Dum,2023-08-04 15:30:05,40
Montanha-russa Dum Dum,2023-08-04 15:35:04,30
Montanha-russa Dum Dum,2023-08-04 15:40:04,30
Montanha-russa Dum Dum,2023-08-04 15:45:05,30
Montanha-russa Dum Dum,2023-08-04 15:50:05,30
Montanha-russa Dum Dum,2023-08-04 15:55:04,40
Montanha-russa Dum Dum,2023-08-04 16:00:04,40
Montanha-russa Dum Dum,2023-08-04 16:05:05,40
Montanha-russa Dum Dum,2023-08-04 16:10:05,40
Montanha-russa Dum Dum,2023-08-04 16:15:05,40
Montanha-russa Dum Dum,2023-08-04 16:20:05,40
Montanha-russa Dum Dum,2023-08-04 16:25:04,40
Montanha-russa Dum Dum,2023-08-04 16:30:05,40
Montanha-russa Dum Dum,2023-08-04 16:35:05,40
Montanha-russa Dum Dum,2023-08-04 16:40:04,40
Montanha-russa Dum Dum,2023-08-04 16:45:04,40
Montanha-russa Dum Dum,2023-08-04 16:50:04,40
Montanha-russa Dum Dum,2023-08-04 16:55:05,40
Montanha-russa Dum Dum,2023-08-04 17:00:05,45
Montanha-russa Dum Dum,2023-08-04 17:05:05,45
Montanha-russa Dum Dum,2023-08-04 17:10:04,45
Montanha-russa Dum Dum,2023-08-04 17:15:05,45
Montanha-russa Dum Dum,2023-08-04 17:20:05,45
Montanha-russa Dum Dum,2023-08-04 17:25:04,45
Montanha-russa Dum Dum,2023-08-04 17:30:06,30
Montanha-russa Dum Dum,2023-08-04 17:35:05,30
Montanha-russa Dum Dum,2023-08-04 17:40:04,30
Montanha-russa Dum Dum,2023-08-04 17:45:05,30
Montanha-russa Dum Dum,2023-08-04 17:50:04,30
Montanha-russa Dum Dum,2023-08-04 17:55:05,30
Montanha-russa Dum Dum,2023-08-04 18:00:05,30
Montanha-russa Dum Dum,2023-08-04 18:05:05,30
Montanha-russa Dum Dum,2023-08-05 10:45:04,10
Montanha-russa Dum Dum,2023-08-05 10:50:06,10
Montanha-russa Dum Dum,2023-08-05 10:55:05,10
Montanha-russa Dum Dum,2023-08-05 11:00:05,10
Montanha-russa Dum Dum,2023-08-05 11:05:04,10
Montanha-russa Dum Dum,2023-08-05 11:10:06,25
Montanha-russa Dum Dum,2023-08-05 11:15:05,25
Montanha-russa Dum Dum,2023-08-05 11:20:05,25
Montanha-russa Dum Dum,2023-08-05 11:25:06,25
Montanha-russa Dum Dum,2023-08-05 11:30:05,25
Montanha-russa Dum Dum,2023-08-05 11:35:05,25
Montanha-russa Dum Dum,2023-08-05 11:40:06,25
Montanha-russa Dum Dum,2023-08-05 11:45:06,35
Montanha-russa Dum Dum,2023-08-05 11:50:05,35
Montanha-russa Dum Dum,2023-08-05 11:55:06,35
Montanha-russa Dum Dum,2023-08-05 12:00:05,35
Montanha-russa Dum Dum,2023-08-05 12:05:05,30
Montanha-russa Dum Dum,2023-08-05 12:10:05,30
Montanha-russa Dum Dum,2023-08-05 12:15:05,30
Montanha-russa Dum Dum,2023-08-05 12:20:05,30
Montanha-russa Dum Dum,2023-08-05 12:25:05,30
Montanha-russa Dum Dum,2023-08-05 12:30:03,30
Montanha-russa Dum Dum,2023-08-05 12:35:05,35
Montanha-russa Dum Dum,2023-08-05 12:40:05,35
Montanha-russa Dum Dum,2023-08-05 12:45:04,35
Montanha-russa Dum Dum,2023-08-05 12:50:05,35
Montanha-russa Dum Dum,2023-08-05 12:55:05,35
Montanha-russa Dum Dum,2023-08-05 13:00:06,35
Montanha-russa Dum Dum,2023-08-05 13:05:06,35
Montanha-russa Dum Dum,2023-08-05 13:10:06,60
Montanha-russa Dum Dum,2023-08-05 13:15:04,60
Montanha-russa Dum Dum,2023-08-05 13:20:05,60
Montanha-russa Dum Dum,2023-08-05 13:25:05,60
Montanha-russa Dum Dum,2023-08-05 13:30:05,60
Montanha-russa Dum Dum,2023-08-05 13:35:05,60
Montanha-russa Dum Dum,2023-08-05 13:40:05,60
Montanha-russa Dum Dum,2023-08-05 13:45:04,90
Montanha-russa Dum Dum,2023-08-05 13:50:05,90
Montanha-russa Dum Dum,2023-08-05 13:55:04,90
Montanha-russa Dum Dum,2023-08-05 14:00:05,90
Montanha-russa Dum Dum,2023-08-05 14:05:06,90
Montanha-russa Dum Dum,2023-08-05 14:10:04,90
Montanha-russa Dum Dum,2023-08-05 14:15:05,30
Montanha-russa Dum Dum,2023-08-05 14:20:06,30
Montanha-russa Dum Dum,2023-08-05 14:25:05,30
Montanha-russa Dum Dum,2023-08-05 14:30:05,30
Montanha-russa Dum Dum,2023-08-05 14:35:06,30
Montanha-russa Dum Dum,2023-08-05 14:40:06,30
Montanha-russa Dum Dum,2023-08-05 14:45:04,30
Montanha-russa Dum Dum,2023-08-05 14:50:05,30
Montanha-russa Dum Dum,2023-08-05 14:55:04,30
Montanha-russa Dum Dum,2023-08-05 15:00:06,30
Montanha-russa Dum Dum,2023-08-05 15:05:05,30
Montanha-russa Dum Dum,2023-08-05 15:10:05,30
Montanha-russa Dum Dum,2023-08-05 15:15:05,35
Montanha-russa Dum Dum,2023-08-05 15:20:05,35
Montanha-russa Dum Dum,2023-08-05 15:25:05,35
Montanha-russa Dum Dum,2023-08-05 15:30:05,35
Montanha-russa Dum Dum,2023-08-05 15:35:04,35
Montanha-russa Dum Dum,2023-08-05 15:40:05,30
Montanha-russa Dum Dum,2023-08-05 15:45:05,30
Montanha-russa Dum Dum,2023-08-05 15:50:05,30
